
Stage 2 -- DNS for 156,223 domains (concurrency 600, timeout 5.0s, 2 retries)
=============================================================================
    1,000/156,223 (  0.6%) domains resolved |    31.5/s | elapsed 0:00:31 | ETA 1:22:06
    2,000/156,223 (  1.3%) domains resolved |    35.4/s | elapsed 0:00:56 | ETA 1:12:41
    3,000/156,223 (  1.9%) domains resolved |    37.8/s | elapsed 0:01:19 | ETA 1:07:34
    4,000/156,223 (  2.6%) domains resolved |    37.4/s | elapsed 0:01:46 | ETA 1:07:45
    5,000/156,223 (  3.2%) domains resolved |    37.0/s | elapsed 0:02:15 | ETA 1:08:07
    6,000/156,223 (  3.8%) domains resolved |    37.8/s | elapsed 0:02:38 | ETA 1:06:17
    7,000/156,223 (  4.5%) domains resolved |    37.8/s | elapsed 0:03:05 | ETA 1:05:44
    8,000/156,223 (  5.1%) domains resolved |    37.9/s | elapsed 0:03:31 | ETA 1:05:13
    9,000/156,223 (  5.8%) domains resolved |    38.0/s | elapsed 0:03:57 | ETA 1:04:38
   10,000/156,223 (  6.4%) domains resolved |    38.0/s | elapsed 0:04:23 | ETA 1:04:11
   11,000/156,223 (  7.0%) domains resolved |    37.9/s | elapsed 0:04:49 | ETA 1:03:47
   12,000/156,223 (  7.7%) domains resolved |    38.0/s | elapsed 0:05:15 | ETA 1:03:17
   13,000/156,223 (  8.3%) domains resolved |    38.0/s | elapsed 0:05:42 | ETA 1:02:51
   14,000/156,223 (  9.0%) domains resolved |    37.9/s | elapsed 0:06:09 | ETA 1:02:31
   15,000/156,223 (  9.6%) domains resolved |    37.7/s | elapsed 0:06:37 | ETA 1:02:23
   16,000/156,223 ( 10.2%) domains resolved |    37.5/s | elapsed 0:07:06 | ETA 1:02:15
   17,000/156,223 ( 10.9%) domains resolved |    37.5/s | elapsed 0:07:33 | ETA 1:01:51
   18,000/156,223 ( 11.5%) domains resolved |    37.5/s | elapsed 0:07:59 | ETA 1:01:22
   19,000/156,223 ( 12.2%) domains resolved |    37.5/s | elapsed 0:08:26 | ETA 1:00:55
   20,000/156,223 ( 12.8%) domains resolved |    37.5/s | elapsed 0:08:53 | ETA 1:00:32
   21,000/156,223 ( 13.4%) domains resolved |    37.4/s | elapsed 0:09:21 | ETA 1:00:16
   22,000/156,223 ( 14.1%) domains resolved |    37.3/s | elapsed 0:09:49 | ETA 0:59:57
   23,000/156,223 ( 14.7%) domains resolved |    37.2/s | elapsed 0:10:17 | ETA 0:59:36
   24,000/156,223 ( 15.4%) domains resolved |    37.2/s | elapsed 0:10:45 | ETA 0:59:17
   25,000/156,223 ( 16.0%) domains resolved |    37.1/s | elapsed 0:11:13 | ETA 0:58:53
   26,000/156,223 ( 16.6%) domains resolved |    37.1/s | elapsed 0:11:40 | ETA 0:58:27
   27,000/156,223 ( 17.3%) domains resolved |    37.1/s | elapsed 0:12:07 | ETA 0:58:04
   28,000/156,223 ( 17.9%) domains resolved |    37.0/s | elapsed 0:12:35 | ETA 0:57:40
   29,000/156,223 ( 18.6%) domains resolved |    37.0/s | elapsed 0:13:03 | ETA 0:57:15
   30,000/156,223 ( 19.2%) domains resolved |    37.0/s | elapsed 0:13:29 | ETA 0:56:47
   31,000/156,223 ( 19.8%) domains resolved |    37.0/s | elapsed 0:13:56 | ETA 0:56:20
   32,000/156,223 ( 20.5%) domains resolved |    37.0/s | elapsed 0:14:23 | ETA 0:55:53
   33,000/156,223 ( 21.1%) domains resolved |    37.0/s | elapsed 0:14:50 | ETA 0:55:26
   34,000/156,223 ( 21.8%) domains resolved |    37.0/s | elapsed 0:15:18 | ETA 0:55:00
   35,000/156,223 ( 22.4%) domains resolved |    37.0/s | elapsed 0:15:45 | ETA 0:54:35
   36,000/156,223 ( 23.0%) domains resolved |    37.0/s | elapsed 0:16:12 | ETA 0:54:08
   37,000/156,223 ( 23.7%) domains resolved |    37.0/s | elapsed 0:16:39 | ETA 0:53:42
   38,000/156,223 ( 24.3%) domains resolved |    37.0/s | elapsed 0:17:07 | ETA 0:53:15
   39,000/156,223 ( 25.0%) domains resolved |    37.0/s | elapsed 0:17:34 | ETA 0:52:49
   40,000/156,223 ( 25.6%) domains resolved |    37.0/s | elapsed 0:18:02 | ETA 0:52:24
   41,000/156,223 ( 26.2%) domains resolved |    37.0/s | elapsed 0:18:29 | ETA 0:51:58
   42,000/156,223 ( 26.9%) domains resolved |    37.0/s | elapsed 0:18:56 | ETA 0:51:31
   43,000/156,223 ( 27.5%) domains resolved |    37.0/s | elapsed 0:19:23 | ETA 0:51:03
   44,000/156,223 ( 28.2%) domains resolved |    36.9/s | elapsed 0:19:50 | ETA 0:50:37
   45,000/156,223 ( 28.8%) domains resolved |    36.9/s | elapsed 0:20:18 | ETA 0:50:11
